,Apartment_Name,Apartment_Location,Apartment_Rent,Apartment_Deposit,Apartment_Negotiable,Apartment_Image_URL,Apartment_Latitude,Apartment_Longitude,American restaurant,Arcade,Art gallery,Arts and entertainment,Asian restaurant,Bakery,Bar,Bbq joint,Beer bar,Beer store,Bicycle store,Bistro,Bookstore,Bowling alley,Brazilian restaurant,Breakfast spot,Brewery,Burger joint,Business and professional services,"Cafe, coffee, and tea house",Café,Candy store,Cantonese restaurant,Capitol building,Car dealership,Chinese restaurant,Clothing store,Coffee shop,College and university,Comfort food restaurant,Community center,Concert hall,Construction,Convenience store,Cultural center,Cupcake shop,Deli,Department store,Dessert shop,Dhaba,Diner,Dining and drinking,Doctor's office,Donut shop,Drugstore,Education,Electronics store,Elementary school,Falafel restaurant,Farm,Farmers market,Fast food restaurant,Fish and chips shop,Flea market,Food court,Food truck,French restaurant,Fried chicken joint,Furniture and home store,Garden,Gastropub,Gift store,Golf course,Government building,Grocery store,Hardware store,Health and medicine,Healthcare clinic,High school,Hiking trail,Hindu temple,History museum,Hookah bar,Hospital,Hotel,Hotel bar,Housing development,Hyderabadi restaurant,Ice cream parlor,Indian restaurant,Italian restaurant,Juice bar,Korean restaurant,Lake,Lounge,Maharashtrian restaurant,Malay restaurant,Martial arts dojo,Mattress store,Medical center,Men's store,Mobile phone store,Motorcycle dealership,Mountain,Movie theater,Multicuisine indian restaurant,Music venue,Night club,North indian restaurant,Office building,Other great outdoors,Pet café,Pizzeria,Pool hall,Post office,Pub,Residential building,Restaurant,Retail,Rubber supplier,Sandwich spot,Scenic lookout,Seafood restaurant,Shopping mall,Snack place,Soccer field,South indian restaurant,Southern food restaurant,Spiritual center,Sports and recreation,Stationery store,Tea room,Telecommunication service,Temple,Theater,Tobacco store,Trade school,Water park,Wine store,Winery,Women's store,Zoo
10,1 BHK House  for Rent  In Aundh,"Independent House, DP road near McDonald's","₹ 18,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,18.5035527,73.7969694,0,0,0,0,5,20,0,5,0,0,0,5,0,0,0,0,0,5,0,0,25,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,10,0,10,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,5,0,5,0,0,0,0,10,10,0,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
11,3 BHK Flat  In Harmony Society for Rent  In Aundh,"New DP Road, Near Nandan Festiva","₹ 41,000No Extra Maintenance","₹1,50,000",Rent (Negotiable),Image URL not found,18.594686,73.769122,5,0,0,0,0,10,5,0,5,0,0,5,0,0,0,10,5,5,0,5,0,0,5,0,5,20,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,10,40,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,5,5,0,0,0,0,5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
12,3 BHK Flat  In Rachana Myworld Apartments for Rent  In Baner,"Rachana Myworld Apartments, Balewadi High St, Baner, Pune, Maharashtra 411045, India","₹ 55,000No Extra Maintenance","₹2,00,000",Rent (Non-Negotiable),Image URL not found,18.5531713,73.7947985,0,0,0,0,5,20,10,5,5,0,0,5,5,0,0,5,0,0,0,0,10,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,25,5,5,0,0,5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,5,0,0,5,0,0,0,0,5,0,0,0,5,0
13,1 BHK Flat  In Sanket Residency for Rent  In Patil Nagar,"Near Shivsena Party Office, Patil Nagar","₹ 13,500No Extra Maintenance","₹20,000",Rent (Non-Negotiable),Image URL not found,18.5801993,73.7643151,0,0,0,0,0,10,5,5,5,0,0,5,0,0,0,5,5,5,0,5,0,0,5,0,0,15,0,10,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,35,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,10,0,0,0,0,5,0,0,0,0,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3 BHK Flat  In Nagras Road Aundh for Rent  In Nagras Road,nagras road,"₹ 40,000No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,18.5404042,73.8851792,0,0,0,5,5,25,5,0,0,0,0,0,0,5,0,10,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,20,15,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,15,0,15,10,0,0,0,0,5,0,5,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0
15,1 BHK Flat  In Trimbak Hills Apartment Condominium for Rent  In Bavdhan,"1-1, Shri Krishna Nagar, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021, India","₹ 14,000No Extra Maintenance","₹35,000",Rent (Non-Negotiable),Image URL not found,18.5164341,73.7817975,0,0,0,0,5,25,0,5,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
16,1 RK Flat  In  Bharati Niwas Housing Society for Rent  In Erandwane,"Prabhat Road, Near Income Tax Building","₹ 23,000 +₹ 500Maintenance","₹50,000",Rent (Negotiable),https://images.nobroker.in/images/ff80818163314bec0163342309d65386/ff80818163314bec0163342309d65386_85065_438064_medium.jpg,18.467818,73.9495184,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0
17,3 BHK Flat  In Laxmi Narayan Nagar  for Rent  In Erandwane,patwardhan baug,"₹ 40,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),https://images.nobroker.in/images/8a9fb1838bea88a9018beadd0d7112b0/8a9fb1838bea88a9018beadd0d7112b0_33397_182354_medium.jpg,18.4975512,73.8324217,0,0,0,0,5,15,10,5,0,0,0,5,0,0,0,0,0,5,0,0,20,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,20,25,5,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,5,0,0,0,0,30,5,0,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1 BHK Flat  In Indira Chs  for Rent  In Erandwane,Karve Rd near SNDT Women,"₹ 19,000No Extra Maintenance","₹60,000",Rent (Negotiable),Image URL not found,18.502309,73.8153637,0,0,0,0,5,25,5,5,0,0,0,5,0,0,0,0,0,5,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,15,45,5,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,5,0,0,0,0,10,5,0,0,0,5,0,5,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
19,"3 BHK Flat  In Shiv Residency for Rent  In Deccan Gymkhana,","Prabhat Rd,,near  Hotel Laxman","₹ 70,000No Extra Maintenance","₹7,00,000",Rent (Negotiable),Image URL not found,18.5144718,73.8332562,0,0,0,0,5,20,15,5,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,5,5,0,5,0,0,0,0,10,35,5,5,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,10,0,0,0,0,15,5,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1 BHK Flat  In Shri Krishna Nagar Co Operartive Housing Society for Rent  In Erandwane,"Khilare patil road,  Erandawane Gauthan Near Mantri Hospital","₹ 17,000 +₹ 500Maintenance","₹50,000",Rent (Non-Negotiable),Image URL not found,18.6205191,73.9161416,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0
21,2 BHK Flat  In Sanjeevani Apartments for Rent  In Deccan Gymkhana,"Sanjeevani Apartments, Lane Number 11, , Erandwane, Pune, Maharashtra 411004, India","₹ 1,00,000No Extra Maintenance","₹1,95,000",Rent (Negotiable),Image URL not found,18.5759584,73.8930605,0,0,0,5,5,10,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,0,20,0,0,0,0,0,5,0,0,5,5,0,0,0,10,0,0,0,5,0,0,0,0,0,0
22,2 BHK Flat  In Vighnaharta Complex for Rent  In Kothrud,"Near, Flat num 207, Plot num 34, Vighnaharta Co-operating society, Mhatre Bridge, corner, Erandwana Gaothan, Erandwane, Pune, Maharashtra 411004","₹ 13,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,18.4958923,73.8173819,0,0,5,0,5,15,0,5,0,0,0,5,0,0,0,0,0,5,0,0,30,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,15,40,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,5,0,0,0,0,10,5,0,0,0,5,0,10,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
23,1 RK Flat  In Shankar Chhaya Society  for Rent  In Erandwane,khilare patil rd near  Reliance Mall,"₹ 11,000 +₹ 400Maintenance","₹30,000",Rent (Negotiable),Image URL not found,18.4720454,73.9084359,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,25,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,15,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1 BHK House  for Rent  In Dattawadi Mhasoba Chowk,"Independent House, Dattawadi","₹ 13,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,18.6330784,73.8416228,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,10,0,0,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,10,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,30,5,5,0,5,0,0,0,0,0,15,0,10,0,0,0,0,0,0,5,5,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1 RK Flat  In Mukta Complex for Rent  In Erandwane,"Mukta Complex, Anil Park Society Internal Road, Pandurang Colony, Erandwane, Pune, Maharashtra 411004, India","₹ 10,000 +₹ 1,000Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,18.5219026,73.7734826,0,0,0,0,5,25,0,5,0,0,0,0,0,0,0,5,0,10,0,0,15,0,0,0,0,0,0,25,0,5,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,10,0,0,0,0,0,5,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,5,0,10,0,0,0,5,0,0,5,5,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
26,"1 RK House  for Rent  In Mhatre Bridge, Dattawadi","Independent House, mhatre bridge oppositeshyamsunder society","₹ 12,000No Extra Maintenance","₹25,000",Rent (Non-Negotiable),Image URL not found,18.5359203,73.9340125,0,5,0,5,5,10,0,0,0,0,5,0,0,5,0,0,0,0,5,5,5,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,10,0,0,10,0,15,0,0,5,0,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1 RK House  for Rent  In Suratwala Housing Pvt. Ltd.,"Independent House, front of suratwala housing business lmt","₹ 15,000No Extra Maintenance","₹25,000",Rent (Negotiable),Image URL not found,18.6330784,73.8416228,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,10,0,0,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,10,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,30,5,5,0,5,0,0,0,0,0,15,0,10,0,0,0,0,0,0,5,5,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"1 RK Flat  In Gurudatta Apartment, Navipeth for Rent  In Navi Peth","Ganjave chowk, Nr. Aswad boarding","₹ 10,000 +₹ 200Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,18.5923633,73.7616448,0,0,0,0,0,10,5,0,5,0,0,5,0,0,0,5,5,5,0,5,0,0,5,0,5,15,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,10,45,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,10,0,0,15,0,0,0,0,5,5,0,0,0,0,5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
29,"2 BHK Apartment  In Eden Garden, Viman Nagar for Rent  In Viman Nagar","Eden Garden, Viman NagarÂ  Viman Nagar, Pune - 411014, Maharashtra, INDIA.","₹ 45,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,18.5007219,73.9018872,0,0,0,5,5,20,5,0,0,0,5,0,0,0,5,5,5,0,5,5,10,0,0,0,0,5,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,5,0,5,0,5,0,0,0,0,0,0,0,0,0,15,0,5,5,0,0,0,0,0,0,0,5,0,35,0,0,5,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
